Row ID,Ship Mode,Segment,City,State,Country,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,order_day,order_month,order_year,ship_year,ship_month,ship_day,discount_bracket,pib_country,ship_mode_binned,Market_binned
13297,1,0,2,7,13,10,1,2,137.25,3.0,0.0,63.09,28.42,1,20,12,2013,2013,12,23,0,2141320000000.0,1.0,4
14764,2,0,2,7,18,6,0,4,291.78,4.0,0.5,-204.3,28.42,3,31,3,2014,2014,4,2,1,9297230738.0,1.0,4
20296,3,2,2,7,2,7,0,9,307.23,7.0,0.0,21.42,28.42,3,26,8,2013,2013,8,30,0,9570410000000.0,0.0,0
25584,3,0,2,7,11,11,1,14,366.1296,8.0,0.17,61.5696,28.42,3,24,5,2011,2011,5,28,0,892969000000.0,0.0,0
30985,1,1,2,7,15,8,2,13,219.096,4.0,0.4,-58.464,28.42,1,18,11,2011,2011,11,21,1,168291000000.0,1.0,0
36190,3,1,2,7,23,12,1,14,227.28,2.0,0.0,2.2728,28.42,2,24,12,2013,2013,12,31,0,16784800000000.0,0.0,2
42140,2,0,2,7,17,0,2,11,105.498,2.0,0.7,-228.582,28.42,0,24,8,2012,2012,8,26,2,455502000000.0,1.0,1
44863,2,1,2,7,18,4,1,15,89.16,2.0,0.0,25.8,28.42,0,8,5,2012,2012,5,10,0,8709165249.0,1.0,3
868,0,0,2,7,16,2,1,14,147.04,4.0,0.0,32.32,28.42,3,13,5,2011,2011,5,13,0,9774262742.0,1.0,5
7073,3,1,2,7,9,2,0,16,178.248,2.0,0.7,-154.512,28.41,1,2,1,2012,2012,1,6,2,18400538859.0,0.0,5
11932,3,0,2,2,6,2,0,5,306.774,2.0,0.1,129.474,28.41,3,23,6,2014,2014,6,28,0,2852170000000.0,0.0,4
12699,3,0,2,2,6,2,1,3,258.9,5.0,0.0,46.5,28.41,1,17,1,2013,2013,1,21,0,2811080000000.0,0.0,4
14353,1,1,2,7,20,10,1,1,105.78,2.0,0.0,38.04,28.41,0,26,4,2012,2012,4,28,0,1324820000000.0,1.0,4
20738,2,1,2,7,2,7,1,7,118.17,3.0,0.0,25.92,28.41,0,8,6,2014,2014,6,11,0,10475700000000.0,1.0,0
46204,0,0,2,7,18,0,1,2,98.94,2.0,0.0,15.78,28.41,0,5,12,2014,2014,12,5,0,9297230738.0,1.0,1
7413,3,1,2,7,8,2,0,9,356.4,5.0,0.0,3.5,28.4,3,18,11,2013,2013,11,23,0,52996540704.0,0.0,5
11595,3,0,2,7,13,10,2,13,238.734,3.0,0.4,-139.266,28.4,1,12,5,2014,2014,5,17,1,2159130000000.0,0.0,4
19219,3,0,2,7,20,10,0,4,394.2,2.0,0.0,145.8,28.38,3,20,9,2014,2014,9,24,0,1369400000000.0,0.0,4
14901,1,0,2,7,6,2,0,4,128.52,1.0,0.1,-1.44,28.37,0,4,12,2012,2012,12,5,0,2683830000000.0,1.0,4
17353,2,0,2,7,20,10,2,13,224.154,2.0,0.1,34.854,28.37,0,7,5,2011,2011,5,9,0,1478770000000.0,1.0,4
45481,2,0,2,7,18,4,2,11,379.44,8.0,0.0,128.88,28.37,3,26,6,2014,2014,6,29,0,9297230738.0,1.0,3
8515,3,1,2,7,14,6,2,0,325.08,6.0,0.0,32.4,28.37,3,9,8,2014,2014,8,14,0,1315350000000.0,0.0,5
22870,3,0,2,4,0,8,0,9,220.968,6.0,0.1,4.788,28.36,2,2,9,2011,2011,9,9,0,1397910000000.0,0.0,0
30264,2,0,2,7,10,3,1,15,284.94,6.0,0.0,28.44,28.36,3,2,12,2014,2014,12,7,0,2039130000000.0,1.0,0
37891,3,1,2,7,23,2,1,2,125.93,7.0,0.0,35.2604,28.36,2,4,5,2012,2012,5,11,0,16197000000000.0,0.0,2
15090,3,0,2,7,6,2,2,11,417.231,3.0,0.15,49.041,28.35,1,16,9,2014,2014,9,20,0,2852170000000.0,0.0,4
26878,2,1,2,7,11,11,0,9,189.435,5.0,0.27,23.235,28.35,1,14,8,2014,2014,8,18,1,890815000000.0,1.0,0
27998,3,1,2,7,11,11,0,5,322.1271,3.0,0.27,-4.4829,28.35,3,16,12,2014,2014,12,20,1,890815000000.0,0.0,0
32885,1,0,1,5,23,5,2,0,247.8,4.0,0.0,34.692,28.35,3,9,8,2012,2012,8,12,0,16197000000000.0,1.0,2
50306,1,0,2,7,18,0,1,7,81.9,2.0,0.0,31.92,28.35,0,7,8,2014,2014,8,9,0,9297230738.0,1.0,1
2196,3,0,2,7,1,10,0,9,226.56,3.0,0.0,63.42,28.35,1,13,3,2012,2012,3,17,0,2465230000000.0,0.0,5
21076,1,0,2,7,18,7,1,7,82.62,9.0,0.5,-29.97,28.34,0,1,11,2011,2011,11,2,1,8106590716.75,1.0,0
49954,1,2,2,7,18,9,2,13,369.84,2.0,0.0,48.06,28.34,3,16,4,2012,2012,4,19,0,8709165249.0,1.0,2
1484,2,0,2,7,16,2,1,15,131.52,4.0,0.0,24.96,28.33,1,17,1,2013,2013,1,21,0,10982979274.0,1.0,5
14562,3,1,2,7,7,2,1,1,268.92,3.0,0.1,110.52,28.33,3,10,11,2014,2014,11,15,0,3883920000000.0,0.0,4
11812,3,2,2,2,6,2,1,1,264.384,3.0,0.1,-26.496,28.32,3,4,12,2012,2012,12,8,0,2683830000000.0,0.0,4
8674,3,0,2,7,8,2,0,4,276.18,1.0,0.0,60.74,28.32,1,25,11,2014,2014,11,30,0,57852399964.0,0.0,5
22341,1,1,2,7,10,3,1,2,97.74,2.0,0.0,21.48,28.31,0,21,12,2011,2011,12,23,0,1823050000000.0,1.0,0
11795,3,0,2,7,18,6,2,0,298.83,7.0,0.5,-197.4,28.3,2,31,5,2013,2013,6,6,1,8747773729.5,0.0,4
24310,3,1,2,7,2,7,2,6,293.88,2.0,0.0,144.0,28.3,3,1,4,2013,2013,4,6,0,9570410000000.0,0.0,0
965,2,0,2,7,14,6,0,9,128.304,3.0,0.4,-83.436,28.29,0,4,6,2013,2013,6,6,1,1274440000000.0,1.0,5
18590,3,0,2,1,22,6,1,2,298.44,6.0,0.0,71.46,28.29,3,1,9,2012,2012,9,8,0,2719160000000.0,0.0,4
5637,3,2,2,7,14,6,2,13,309.36,3.0,0.0,102.06,28.28,3,28,3,2011,2011,4,2,0,1180490000000.0,0.0,5
24064,3,1,2,7,18,7,1,3,290.52,6.0,0.0,55.08,28.28,3,10,9,2013,2013,9,16,0,8747773729.5,0.0,0
9179,3,1,2,7,4,1,2,13,223.2,3.0,0.2,-39.06,28.28,1,26,7,2014,2014,7,30,0,67179914027.0,0.0,5
11436,3,0,2,6,7,2,0,5,201.123,3.0,0.1,62.523,28.27,1,18,8,2012,2012,8,22,0,3527340000000.0,0.0,4
48070,3,1,2,7,18,4,0,5,281.82,2.0,0.0,115.5,28.27,1,8,3,2012,2012,3,12,0,8709165249.0,0.0,3
4752,2,2,2,7,4,1,2,0,396.336,3.0,0.2,-0.024,28.26,3,26,12,2014,2014,12,30,0,67179914027.0,1.0,5
12418,1,2,2,7,20,10,1,14,146.367,3.0,0.1,17.847,28.26,3,19,10,2012,2012,10,21,0,1324820000000.0,1.0,4
26347,2,2,2,7,10,3,2,0,277.8,5.0,0.0,130.5,28.26,1,5,5,2014,2014,5,7,0,2039130000000.0,1.0,0
26906,3,2,2,4,0,8,2,13,251.586,2.0,0.1,30.726,28.26,1,30,9,2011,2011,10,4,0,1397910000000.0,0.0,0
44813,2,0,2,7,18,4,1,14,211.62,1.0,0.0,14.79,28.26,1,15,6,2012,2012,6,17,0,8709165249.0,1.0,3
46042,3,0,2,7,18,0,1,14,322.38,6.0,0.0,38.52,28.26,3,10,5,2011,2011,5,14,0,8106590716.75,0.0,1
1759,2,2,2,7,16,2,2,0,217.84,4.0,0.0,54.4,28.25,1,10,9,2014,2014,9,14,0,11880434071.0,1.0,5
18955,0,0,2,1,22,6,0,9,99.09899999999999,3.0,0.3,8.469,28.25,0,26,6,2013,2013,6,26,1,2803290000000.0,1.0,4
32308,2,0,2,7,23,12,0,9,155.25,3.0,0.0,46.575,28.25,1,18,6,2014,2014,6,22,0,17527200000000.0,1.0,2
5409,0,0,2,7,14,6,1,14,115.74,3.0,0.0,52.08,28.25,1,28,6,2012,2012,6,28,0,1201090000000.0,1.0,5
39692,2,0,2,7,23,5,0,16,366.009,3.0,0.3,-47.0583,28.24,3,2,12,2013,2013,12,7,1,16784800000000.0,1.0,2
43089,3,0,2,7,18,4,2,13,276.96,2.0,0.0,11.04,28.24,1,6,11,2014,2014,11,10,0,9297230738.0,0.0,3
1573,2,1,2,7,8,2,0,5,317.66,7.0,0.0,133.28,28.23,1,23,12,2014,2014,12,25,0,57852399964.0,1.0,5
3181,1,2,2,7,4,1,1,14,78.288,3.0,0.2,-18.612,28.23,0,7,8,2013,2013,8,8,0,62682163837.0,1.0,5
37583,3,2,2,7,23,10,2,13,239.976,3.0,0.2,17.9982,28.22,2,25,10,2013,2013,11,1,0,16784800000000.0,0.0,2
11461,2,0,2,7,13,10,2,13,350.64,8.0,0.4,-46.8,28.2,1,24,10,2014,2014,10,26,1,2159130000000.0,1.0,4
36106,1,0,2,7,23,2,1,12,195.64,4.0,0.0,91.9508,28.19,1,27,12,2012,2012,12,30,0,16197000000000.0,1.0,2
36563,1,1,2,7,23,12,1,12,167.94,3.0,0.0,82.2906,28.19,0,1,10,2014,2014,10,4,0,17527200000000.0,1.0,2
2038,2,2,2,7,18,10,1,1,316.32,8.0,0.4,-68.64,28.19,3,24,9,2013,2013,9,29,1,8747773729.5,1.0,5
60,3,2,2,7,1,10,2,13,391.32,9.0,0.0,144.72,28.18,3,11,10,2013,2013,10,17,0,2472820000000.0,0.0,5
13264,3,0,2,7,6,2,2,13,353.124,3.0,0.15,-45.756,28.18,3,9,8,2014,2014,8,15,0,2852170000000.0,0.0,4
24403,2,2,2,7,10,3,1,14,120.0,5.0,0.0,7.2,28.18,1,23,4,2014,2014,4,26,0,2039130000000.0,1.0,0
28256,3,0,2,7,10,3,0,4,340.68,2.0,0.0,13.62,28.18,3,24,12,2013,2013,12,29,0,1856720000000.0,0.0,0
30483,2,0,2,4,0,8,2,0,229.32,4.0,0.0,9.12,28.18,3,14,9,2012,2012,9,17,0,1546510000000.0,1.0,0
39405,3,0,3,8,23,5,0,5,215.544,4.0,0.3,-58.5048,28.18,2,9,12,2014,2014,12,16,1,17527200000000.0,0.0,2
4502,3,0,2,7,14,6,1,14,424.2,3.0,0.0,135.72,28.18,3,25,2,2013,2013,3,2,0,1274440000000.0,0.0,5
33621,2,1,2,7,23,10,1,3,364.8,12.0,0.0,167.808,28.17,1,31,12,2012,2013,1,3,0,16197000000000.0,1.0,2
8261,0,1,2,7,4,1,1,12,81.84,5.0,0.2,-17.46,28.16,0,12,11,2014,2014,11,12,0,67179914027.0,1.0,5
14327,3,2,2,7,7,2,2,11,314.46,6.0,0.0,21.96,28.16,3,28,2,2012,2012,3,3,0,3527340000000.0,0.0,4
29537,3,2,2,4,0,8,1,2,241.65,5.0,0.1,-21.6,28.16,3,21,8,2014,2014,8,27,0,1467500000000.0,0.0,0
35232,3,0,2,0,23,12,2,13,201.584,2.0,0.2,12.599,28.16,2,3,9,2014,2014,9,9,0,17527200000000.0,0.0,2
42083,3,0,2,7,18,4,1,10,136.08,12.0,0.0,20.16,28.16,1,5,9,2014,2014,9,9,0,9297230738.0,0.0,3
13547,3,0,2,7,18,6,2,13,409.5,6.0,0.5,-172.08,28.15,3,16,1,2013,2013,1,21,1,8747773729.5,0.0,4
13888,2,0,2,7,7,2,1,3,101.1,2.0,0.0,11.1,28.15,0,25,12,2013,2013,12,28,0,3732740000000.0,1.0,4
369,1,0,2,7,9,2,2,6,300.48304,2.0,0.402,-116.59696,28.15,1,9,11,2013,2013,11,10,1,18372173381.0,1.0,5
13597,3,1,2,6,7,2,1,14,287.712,6.0,0.1,127.872,28.14,3,29,12,2012,2013,1,4,0,3527340000000.0,0.0,4
42503,1,0,2,7,18,4,0,4,287.58,2.0,0.0,8.58,28.14,0,2,5,2011,2011,5,4,0,8106590716.75,1.0,3
3042,3,1,2,7,1,10,2,13,277.14,3.0,0.0,60.96,28.13,3,8,11,2014,2014,11,14,0,2456040000000.0,0.0,5
11807,2,1,2,7,18,2,0,5,186.93,3.0,0.0,41.04,28.13,1,28,9,2011,2011,9,30,0,8106590716.75,1.0,4
13641,3,1,2,1,22,6,1,1,170.64,2.0,0.0,80.16,28.13,1,24,10,2012,2012,10,28,0,2719160000000.0,0.0,4
22120,3,1,2,7,2,7,1,12,279.54,6.0,0.0,69.84,28.13,3,18,10,2012,2012,10,23,0,8532230000000.0,0.0,0
11181,3,0,2,7,13,10,0,4,242.1,2.0,0.0,101.64,28.12,3,3,10,2011,2011,10,9,0,2291990000000.0,0.0,4
30543,1,1,2,7,15,8,1,8,145.2,10.0,0.0,23.1,28.12,1,17,10,2014,2014,10,19,0,201313000000.0,1.0,0
12569,1,0,2,7,13,10,1,15,104.67,3.0,0.0,41.85,28.11,0,21,3,2011,2011,3,24,0,2291990000000.0,1.0,4
31183,2,0,2,7,15,8,0,9,124.416,4.0,0.4,-4.224,28.11,0,23,12,2013,2013,12,26,1,190907000000.0,1.0,0
50836,1,2,2,7,18,4,2,0,158.58,2.0,0.0,20.58,28.11,1,23,10,2014,2014,10,25,0,9297230738.0,1.0,3
5587,2,0,2,7,18,10,1,1,248.856,2.0,0.4,33.176,28.11,3,24,6,2014,2014,6,29,1,9297230738.0,1.0,5
536,3,1,2,7,1,10,0,5,347.88,3.0,0.0,97.38,28.1,3,11,12,2012,2012,12,16,0,2465230000000.0,0.0,5
46256,3,0,2,7,17,0,0,4,179.352,4.0,0.7,-310.968,28.1,1,28,2,2014,2014,3,5,2,546676000000.0,0.0,1
8132,3,0,2,7,3,1,1,1,278.2,5.0,0.0,116.8,28.1,3,1,11,2014,2014,11,6,0,80656000000.0,0.0,5
20554,0,0,2,7,0,8,2,13,201.285,3.0,0.1,64.845,28.09,3,17,9,2013,2013,9,17,0,1576340000000.0,1.0,0
29296,0,0,2,7,11,11,2,0,147.9654,6.0,0.47,8.2854,28.09,3,2,12,2014,2014,12,2,1,890815000000.0,1.0,0
1426,0,1,2,7,18,1,0,5,169.44,5.0,0.4,-110.16,28.09,3,29,8,2013,2013,8,29,1,8747773729.5,1.0,5
9676,2,2,2,7,4,1,2,6,267.55344,4.0,0.202,-14.12656,28.08,3,24,10,2012,2012,10,28,0,60681537196.0,1.0,5
22167,1,1,2,7,11,11,2,0,413.1297,3.0,0.47,-140.3703,28.08,1,29,8,2013,2013,8,31,1,912524000000.0,1.0,0
46558,2,0,2,7,18,0,1,14,256.74,2.0,0.0,110.34,28.08,1,9,1,2013,2013,1,12,0,8747773729.5,1.0,1
10165,3,0,2,7,1,10,0,4,260.352,8.0,0.6,-358.048,28.07,1,21,7,2011,2011,7,26,2,2616160000000.0,0.0,5
25329,1,2,2,9,0,8,0,4,110.673,1.0,0.1,-2.487,28.07,0,17,9,2011,2011,9,20,0,1397910000000.0,1.0,0
13908,1,0,2,2,6,2,1,14,248.022,2.0,0.1,8.262,28.06,1,28,1,2014,2014,1,29,0,2852170000000.0,1.0,4
26892,2,1,2,7,19,11,0,5,206.3475,3.0,0.25,-52.3125,28.06,3,10,1,2012,2012,1,14,0,261921000000.0,1.0,0
43196,3,2,2,7,18,0,1,14,367.47,2.0,0.1,65.31,28.06,3,27,12,2013,2014,1,1,0,8747773729.5,0.0,1
2155,3,0,2,7,16,2,0,5,227.24,2.0,0.0,6.8,28.06,2,12,5,2014,2014,5,19,0,11880434071.0,0.0,5
13731,1,0,2,7,6,2,1,8,81.3,5.0,0.0,40.65,28.05,0,9,8,2014,2014,8,11,0,2852170000000.0,1.0,4
25959,2,0,2,7,2,7,1,14,206.4,1.0,0.0,66.03,28.05,3,7,10,2011,2011,10,10,0,7551500000000.0,1.0,0
14153,2,2,2,7,18,2,0,4,197.1,1.0,0.0,72.9,28.04,1,16,7,2014,2014,7,20,0,9297230738.0,1.0,4
50282,0,0,2,7,18,4,0,5,79.8,1.0,0.0,13.56,28.04,1,25,8,2014,2014,8,25,0,9297230738.0,1.0,3
99,1,0,2,7,4,1,0,5,92.304,3.0,0.2,-3.516,28.03,0,8,8,2013,2013,8,10,0,62682163837.0,1.0,5
21185,1,0,2,7,18,7,0,5,221.76,4.0,0.0,33.24,28.02,3,16,1,2013,2013,1,19,0,8747773729.5,1.0,0
28579,3,1,2,3,18,8,0,5,301.896,7.0,0.2,86.646,28.02,1,31,10,2013,2013,11,5,0,8747773729.5,0.0,0
28417,3,2,2,3,19,11,2,13,378.27,4.0,0.25,75.63,28.01,3,12,5,2014,2014,5,16,0,297483000000.0,0.0,0
29819,3,1,2,7,18,11,1,12,228.0,8.0,0.0,91.2,28.01,1,2,12,2011,2011,12,7,0,8106590716.75,0.0,0
40017,2,2,2,11,23,2,0,5,379.372,2.0,0.3,-119.2312,28.01,3,13,6,2013,2013,6,17,1,16784800000000.0,1.0,2
41110,1,0,2,7,23,5,1,12,204.95,5.0,0.0,100.4255,28.01,3,28,11,2013,2013,12,1,0,16784800000000.0,1.0,2
887,3,0,2,7,4,1,2,0,305.6,5.0,0.2,38.2,28.01,3,2,4,2012,2012,4,7,0,60681537196.0,0.0,5
10639,2,0,2,7,7,2,0,9,210.96,8.0,0.0,56.88,28.0,1,14,3,2014,2014,3,19,0,3883920000000.0,1.0,4
14363,3,1,2,7,6,2,2,0,307.44,3.0,0.0,73.71,28.0,3,30,5,2014,2014,6,3,0,2852170000000.0,0.0,4
22485,3,1,2,7,0,8,0,5,348.3,3.0,0.1,23.22,28.0,3,24,5,2013,2013,5,30,0,1576340000000.0,0.0,0
27550,3,0,2,7,10,3,2,6,380.7,3.0,0.0,163.62,28.0,3,30,5,2011,2011,6,4,0,1823050000000.0,0.0,0
18341,2,2,2,7,13,10,0,5,205.104,4.0,0.6,-112.896,27.99,1,4,1,2013,2013,1,6,2,2141320000000.0,1.0,4
33383,3,0,1,5,23,5,1,14,324.9,5.0,0.0,38.988,27.99,3,24,6,2013,2013,6,29,0,16784800000000.0,0.0,2
50142,2,1,2,7,18,0,1,14,198.45,1.0,0.0,89.28,27.99,1,5,8,2014,2014,8,10,0,9297230738.0,1.0,1
14126,2,0,2,2,6,2,2,13,235.569,2.0,0.15,49.869,27.98,3,27,12,2012,2013,1,1,0,2683830000000.0,1.0,4
14315,1,1,2,7,20,10,1,1,152.28,2.0,0.0,44.16,27.98,1,24,12,2014,2014,12,25,0,1369400000000.0,1.0,4
3321,3,0,2,7,16,2,2,13,336.24,3.0,0.0,100.86,27.98,3,16,10,2014,2014,10,21,0,11880434071.0,0.0,5
2345,3,0,2,7,14,6,2,13,398.52,9.0,0.0,87.66,27.97,3,8,7,2014,2014,7,13,0,1315350000000.0,0.0,5
13653,2,0,2,7,6,2,1,3,209.37,7.0,0.0,83.58,27.97,1,13,4,2012,2012,4,18,0,2683830000000.0,1.0,4
4711,1,0,2,7,18,10,1,14,165.348,3.0,0.4,2.748,27.97,3,27,2,2012,2012,2,29,1,8709165249.0,1.0,5
11037,3,0,2,7,13,10,0,4,292.56,2.0,0.0,43.86,27.96,3,17,7,2012,2012,7,21,0,2087080000000.0,0.0,4
27578,3,1,2,7,10,3,0,5,200.76,2.0,0.0,86.28,27.96,1,7,4,2014,2014,4,12,0,2039130000000.0,0.0,0
35185,3,0,2,7,23,10,2,13,239.97,3.0,0.0,67.1916,27.96,1,2,6,2011,2011,6,6,0,15542600000000.0,0.0,2
41934,0,0,2,7,18,4,1,2,111.168,8.0,0.7,-163.152,27.96,1,3,7,2014,2014,7,3,2,9297230738.0,1.0,3
6684,0,1,2,7,3,1,0,9,123.34,7.0,0.0,61.6,27.95,1,5,10,2013,2013,10,5,0,77148000000.0,1.0,5
4298,2,2,2,7,4,1,2,13,346.08,5.0,0.2,108.08,27.95,1,21,10,2014,2014,10,26,0,67179914027.0,1.0,5
14069,2,1,2,7,6,2,1,1,277.263,1.0,0.1,-0.027,27.94,3,16,2,2011,2011,2,19,0,2861410000000.0,1.0,4
14106,3,0,2,7,6,2,1,12,139.8,5.0,0.0,68.4,27.94,1,20,10,2014,2014,10,24,0,2852170000000.0,0.0,4
19357,2,0,2,7,7,2,2,0,336.6,3.0,0.0,158.13,27.94,3,28,10,2014,2014,10,31,0,3883920000000.0,1.0,4
47836,3,0,2,7,18,0,2,6,359.85,1.0,0.0,147.51,27.94,3,20,12,2012,2012,12,26,0,8709165249.0,0.0,1
13708,3,1,2,7,18,2,2,6,382.26,2.0,0.0,53.46,27.93,3,5,5,2011,2011,5,10,0,8106590716.75,0.0,4
22619,2,0,2,7,2,7,1,15,166.68,6.0,0.0,49.86,27.93,1,30,5,2014,2014,6,1,0,10475700000000.0,1.0,0
9191,1,1,2,7,18,2,1,1,339.0119999999999,3.0,0.4,-62.208,27.93,1,6,3,2014,2014,3,7,1,9297230738.0,1.0,5
7367,3,0,2,7,1,10,2,11,317.52,6.0,0.0,149.16,27.92,3,28,9,2014,2014,10,3,0,2456040000000.0,0.0,5
8071,3,1,2,7,1,10,2,13,425.0,1.0,0.0,59.5,27.91,1,15,10,2014,2014,10,19,0,2456040000000.0,0.0,5
20568,1,1,2,7,10,3,1,12,179.88,4.0,0.0,84.48,27.91,1,27,12,2014,2014,12,29,0,2039130000000.0,1.0,0
32758,3,0,2,7,23,5,0,16,244.006,2.0,0.3,-31.3722,27.91,1,12,3,2013,2013,3,16,1,16784800000000.0,0.0,2
7433,1,0,2,7,14,6,0,5,257.952,3.0,0.2,22.512,27.91,3,31,1,2014,2014,2,3,0,1315350000000.0,1.0,5
11504,1,1,2,1,22,6,1,14,426.24,8.0,0.0,213.12,27.9,1,23,2,2012,2012,2,25,0,2719160000000.0,1.0,4
17183,2,0,2,7,20,10,0,9,151.11,3.0,0.0,13.59,27.9,1,18,12,2012,2012,12,21,0,1324820000000.0,1.0,4
43941,3,1,2,7,12,4,0,4,391.14,1.0,0.0,195.57,27.9,3,15,6,2012,2012,6,19,0,598868000000.0,0.0,3
47521,3,0,2,7,18,0,0,9,189.0,6.0,0.0,22.68,27.9,2,17,6,2013,2013,6,24,0,8747773729.5,0.0,1
11133,3,1,2,7,20,10,1,14,396.09,9.0,0.1,-31.05,27.89,1,18,11,2014,2014,11,22,0,1369400000000.0,0.0,4
24437,1,0,2,7,19,11,1,14,218.79,2.0,0.45,-123.33,27.89,1,17,2,2014,2014,2,18,1,297483000000.0,1.0,0
40065,3,0,2,7,23,5,2,0,288.0,4.0,0.2,57.6,27.89,3,5,10,2012,2012,10,9,0,16197000000000.0,0.0,2
34526,3,0,1,5,23,5,1,14,375.34,1.0,0.0,18.767,27.88,3,11,8,2011,2011,8,16,0,15542600000000.0,0.0,2
5451,3,0,2,7,14,6,2,0,306.16,4.0,0.0,58.16,27.87,3,7,10,2014,2014,10,11,0,1315350000000.0,0.0,5
26395,2,0,2,9,0,8,0,9,132.3,7.0,0.4,6.51,27.87,0,15,5,2013,2013,5,18,1,1576340000000.0,1.0,0
17830,1,0,2,7,6,2,1,14,110.484,4.0,0.1,-9.876,27.86,1,6,4,2014,2014,4,8,0,2852170000000.0,1.0,4
24595,2,0,2,7,11,11,0,16,169.7961,1.0,0.47,-118.5639,27.86,1,10,6,2014,2014,6,14,1,890815000000.0,1.0,0
30663,3,2,2,7,15,8,0,4,246.12,2.0,0.0,66.42,27.86,3,22,5,2014,2014,5,26,0,201313000000.0,0.0,0
38664,3,1,3,8,23,5,0,5,347.802,7.0,0.3,-24.843,27.86,3,29,11,2013,2013,12,5,1,16784800000000.0,0.0,2
12516,3,0,2,7,6,2,0,4,393.48,5.0,0.6,-157.47,27.85,1,30,9,2011,2011,10,4,2,2861410000000.0,0.0,4
47822,3,1,2,7,18,0,2,0,230.16,4.0,0.0,52.92,27.85,3,15,5,2013,2013,5,20,0,8747773729.5,0.0,1
50552,3,1,2,7,18,0,1,1,308.64,1.0,0.0,61.71,27.85,3,29,11,2013,2013,12,3,0,8747773729.5,0.0,1
14691,1,0,2,2,6,2,1,3,149.31,3.0,0.0,41.76,27.84,3,24,12,2014,2014,12,27,0,2852170000000.0,1.0,4
40735,3,0,3,8,23,5,2,13,285.576,4.0,0.4,-57.1152,27.84,3,1,8,2014,2014,8,6,1,17527200000000.0,0.0,2
47055,3,2,2,7,18,0,0,9,226.08,4.0,0.0,63.24,27.84,2,18,11,2013,2013,11,24,0,8747773729.5,0.0,1
12591,3,0,2,6,7,2,1,14,358.02,2.0,0.1,71.58,27.83,3,21,10,2014,2014,10,25,0,3883920000000.0,0.0,4
24523,3,2,2,7,18,11,1,12,361.44,8.0,0.0,79.44,27.83,3,17,5,2013,2013,5,24,0,8747773729.5,0.0,0
14101,3,1,2,1,22,6,2,0,286.2,4.0,0.0,11.4,27.82,3,2,8,2014,2014,8,6,0,3087170000000.0,0.0,4
4205,0,0,2,7,4,1,0,4,117.84,2.0,0.4,-29.48,27.82,1,8,3,2014,2014,3,8,1,67179914027.0,1.0,5
38809,3,0,2,7,23,5,1,14,239.456,7.0,0.2,17.9592,27.81,1,15,7,2014,2014,7,19,0,17527200000000.0,0.0,2
12150,2,0,2,1,22,6,0,5,204.93,3.0,0.0,79.92,27.8,1,28,5,2013,2013,6,1,0,2803290000000.0,1.0,4
28423,3,2,2,7,11,11,0,4,232.686,2.0,0.07,105.066,27.8,1,29,11,2013,2013,12,3,0,912524000000.0,0.0,0
34323,3,2,3,8,23,5,0,9,254.352,3.0,0.2,0.0,27.8,3,23,4,2014,2014,4,27,0,17527200000000.0,0.0,2
42670,2,1,2,7,18,4,1,14,193.8,4.0,0.0,0.0,27.8,1,4,4,2013,2013,4,8,0,8747773729.5,1.0,3
